City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Veraval,IN,2021-10-06 20:31:43,20.9,70.3667,82.08,79,100,8.12
219,Saint-Philippe,RE,2021-10-06 20:31:26,-21.3585,55.7679,69.39,82,37,2.68
220,Borogontsy,RU,2021-10-06 20:31:43,62.6683,131.1683,27.36,95,87,4.63
221,Kavieng,PG,2021-10-06 20:31:43,-2.5744,150.7967,80.13,74,100,1.95
222,General Pico,AR,2021-10-06 20:31:44,-35.6566,-63.7568,59.43,28,0,10.33
223,Neiafu,TO,2021-10-06 20:31:44,-18.65,-173.9833,81.28,78,75,9.22
224,Yar-Sale,RU,2021-10-06 20:31:45,66.8333,70.8333,43.77,84,100,21.97
225,Pisco,PE,2021-10-06 20:31:45,-13.7,-76.2167,68.05,73,0,10.36
226,Marion,US,2021-10-06 20:31:45,39.7684,-86.1555,77.56,82,75,5.75
227,Pimentel,PE,2021-10-06 20:31:46,-6.8367,-79.9342,71.89,60,0,17.27
228,Coquimbo,CL,2021-10-06 20:31:46,-29.9533,-71.3436,58.73,72,20,13.8
229,Nantucket,US,2021-10-06 20:31:46,41.2835,-70.0995,69.94,60,1,8.05
230,Cidreira,BR,2021-10-06 20:31:47,-30.1811,-50.2056,65.91,74,100,12.48
231,East London,ZA,2021-10-06 20:31:47,-33.0153,27.9116,66.31,82,88,16.8
232,Upernavik,GL,2021-10-06 20:31:47,72.7868,-56.1549,32.04,53,100,3.56
233,Hambantota,LK,2021-10-06 20:31:48,6.1241,81.1185,79.45,86,51,12.59
234,Kulhudhuffushi,MV,2021-10-06 20:31:48,6.6221,73.07,81.75,80,100,15.68
235,Cap Malheureux,MU,2021-10-06 20:31:48,-19.9842,57.6142,69.48,79,11,4.85
236,Faanui,PF,2021-10-06 20:31:49,-16.4833,-151.75,78.64,70,0,12.41
237,Baft,IR,2021-10-06 20:31:49,29.234,56.6057,64.44,48,14,2.75
238,Hithadhoo,MV,2021-10-06 20:31:50,-0.6,73.0833,83.57,74,51,12.33
239,Vuktyl,RU,2021-10-06 20:31:50,63.8567,57.3094,40.68,87,98,8.21
240,Meulaboh,ID,2021-10-06 20:31:50,4.1363,96.1285,76.5,88,100,6.78
241,Ambilobe,MG,2021-10-06 20:30:50,-13.2,49.05,69.62,80,74,2.77
242,Srednekolymsk,RU,2021-10-06 20:31:36,67.45,153.6833,13.84,84,71,6.69
243,Sola,VU,2021-10-06 20:31:51,-13.8833,167.55,80.46,77,47,11.5
244,Saryozek,KZ,2021-10-06 20:31:51,44.3583,77.9753,27.86,65,36,2.86
245,Souillac,MU,2021-10-06 20:31:51,-20.5167,57.5167,69.37,94,75,3.44
246,Tigil,RU,2021-10-06 20:31:52,57.8,158.6667,30.97,86,99,6.2
247,Pathalgaon,IN,2021-10-06 20:31:52,22.5667,83.4667,72.36,85,9,3.15
248,Krasnoshchekovo,RU,2021-10-06 20:31:52,51.6708,82.7289,29.25,94,100,3.38
249,Shenjiamen,CN,2021-10-06 20:31:53,29.9576,122.298,76.17,88,28,9.31
250,Haines Junction,CA,2021-10-06 20:31:53,60.7522,-137.5108,33.75,60,19,2.3
251,Half Moon Bay,US,2021-10-06 20:31:54,37.4636,-122.4286,74.8,64,1,9.22
252,Santa Cruz,BO,2021-10-06 20:31:17,-17.8,-63.1667,94.46,40,75,20.71
253,Mantenopolis,BR,2021-10-06 20:31:54,-18.8625,-41.1228,75.79,71,86,12.64
254,Washougal,US,2021-10-06 20:27:21,45.5826,-122.3534,63.37,67,90,10.36
255,Bambous Virieux,MU,2021-10-06 20:31:55,-20.3428,57.7575,69.22,94,75,3.44
256,Jistebnice,CZ,2021-10-06 20:31:55,49.4855,14.5276,49.33,90,100,4.18
257,Mbandaka,CD,2021-10-06 20:31:56,0.0487,18.2603,73.17,86,89,3.44
258,Canaries,ES,2021-10-06 20:31:56,28.0,-15.5,66.76,75,20,1.99
259,Kerema,PG,2021-10-06 20:31:56,-7.9631,145.7785,77.7,88,45,4.45
260,Lundazi,ZM,2021-10-06 20:31:57,-12.2929,33.1782,69.89,46,5,7.34
261,Narsaq,GL,2021-10-06 20:31:55,60.9167,-46.05,44.82,57,98,9.04
262,Deputatskiy,RU,2021-10-06 20:31:57,69.3,139.9,19.13,93,100,5.08
263,Aswan,EG,2021-10-06 20:31:57,24.0934,32.907,81.7,28,0,5.75
264,Cordoba,AR,2021-10-06 20:29:18,-31.4135,-64.1811,67.42,27,0,7.0
265,Korla,CN,2021-10-06 20:31:58,41.7597,86.1469,57.97,29,100,3.62
